TEAM0,TEAM1,TEAM0_WIN,GP_DIFF,W_DIFF,L_DIFF,MIN_DIFF,FGM_DIFF,FGA_DIFF,FG_PCT_DIFF,FG3M_DIFF,FG3A_DIFF,FG3_PCT_DIFF,FTM_DIFF,FTA_DIFF,FT_PCT_DIFF,OREB_DIFF,DREB_DIFF,REB_DIFF,AST_DIFF,TOV_DIFF,STL_DIFF,BLK_DIFF,BLKA_DIFF,PF_DIFF,PFD_DIFF,PTS_DIFF,PLUS_MINUS_DIFF,GP_RANK_DIFF,W_RANK_DIFF,L_RANK_DIFF,MIN_RANK_DIFF,FGM_RANK_DIFF,FGA_RANK_DIFF,FG_PCT_RANK_DIFF,FG3M_RANK_DIFF,FG3A_RANK_DIFF,FG3_PCT_RANK_DIFF,FTM_RANK_DIFF,FTA_RANK_DIFF,FT_PCT_RANK_DIFF,OREB_RANK_DIFF,DREB_RANK_DIFF,REB_RANK_DIFF,AST_RANK_DIFF,TOV_RANK_DIFF,STL_RANK_DIFF,BLK_RANK_DIFF,BLKA_RANK_DIFF,PF_RANK_DIFF,PFD_RANK_DIFF,PTS_RANK_DIFF,PLUS_MINUS_RANK_DIFF
Oklahoma City Thunder,Brooklyn Nets,1,0,42,-42,-15.0,574,540,0.044999999999999984,79,-48,0.030000000000000027,35,-24,0.03199999999999992,-23,308,285,139,-283.0,208,113,-65,-67,-65,1262,1638.0,0,-24,-24,15,-27,-25,-22,-7,2,-19,-4,3,-10,2,-23,-18,-12,-22,-19,-24,-13,-3,9,-25,-25
Orlando Magic,Brooklyn Nets,1,0,15,-15,-10.0,44,-26,0.008000000000000007,-192,-340,-0.025999999999999968,130,194,-0.01200000000000001,20,24,44,-176,-79.0,90,136,-96,-50,116,26,573.0,0,-10,-10,9,-1,1,-2,17,15,5,-18,-16,8,-4,-1,-2,6,-7,-14,-25,-19,-2,-13,-1,-9
Brooklyn Nets,Philadelphia 76ers,0,0,2,-2,-5.0,-168,-108,-0.017000000000000015,72,182,0.002999999999999947,-105,-148,0.007000000000000006,42,82,124,162,127.0,-113,-14,37,142,20,-369,-72.0,0,-1,-1,5,4,5,6,-8,-9,-2,16,14,-4,-4,-1,-1,-5,14,15,3,8,9,-3,3,1
Phoenix Suns,Brooklyn Nets,1,0,10,-10,10.0,295,15,0.04099999999999998,63,-120,0.03400000000000003,45,6,0.02300000000000002,-111,208,97,214,-91.0,-46,40,-128,-227,-41,698,337.0,0,-4,-4,-8,-12,-2,-18,-6,4,-22,-5,-1,-9,10,-11,-4,-14,-8,8,-10,-24,-18,6,-11,-3
Brooklyn Nets,Portland Trail Blazers,0,0,-10,10,0.0,-239,-336,-0.013000000000000012,56,137,0.0019999999999999463,-52,-124,0.025000000000000022,-201,-83,-284,111,-65.0,-39,-81,4,140,-31,-474,-339.0,0,4,4,0,7,19,3,-6,-6,-1,7,11,-15,16,2,17,-3,-6,9,18,1,7,11,7,4
Brooklyn Nets,Sacramento Kings,0,0,-14,14,-20.0,-443,-325,-0.04099999999999998,81,345,-0.013000000000000012,-66,-42,-0.019000000000000017,-7,-230,-237,-106,152.0,19,-5,107,150,35,-871,-622.0,0,9,9,12,21,18,17,-10,-16,6,10,4,7,2,15,13,11,17,-5,1,22,11,-5,19,10
San Antonio Spurs,Brooklyn Nets,1,0,8,-8,-10.0,340,302,0.028000000000000025,45,14,0.013000000000000012,-2,25,-0.013000000000000012,2,192,194,285,-106.0,34,103,-101,-335,-122,723,357.0,0,-2,-2,9,-16,-13,-12,-4,-1,-5,1,-2,10,-1,-8,-10,-18,-13,-8,-22,-20,-25,14,-13,-5
Brooklyn Nets,Toronto Raptors,0,0,-4,4,-5.0,-328,-402,-0.02100000000000002,144,446,-0.0040000000000000036,40,-33,0.039000000000000035,-140,-173,-313,-277,-13.0,-25,4,-27,-40,66,-472,-231.0,0,1,1,5,15,22,9,-16,-20,2,-5,3,-18,14,5,19,17,-1,4,-2,-2,-2,-10,6,2
Brooklyn Nets,Utah Jazz,0,0,9,-9,-5.0,-219,-212,-0.017000000000000015,-31,-35,-0.006000000000000005,-87,-140,0.013000000000000012,-89,-248,-337,-30,-168.0,84,-8,-70,149,-30,-556,183.0,0,-5,-5,5,5,8,7,3,2,3,15,13,-11,10,18,24,4,-7,-10,2,-3,10,10,8,-2
Washington Wizards,Brooklyn Nets,1,0,-8,8,-10.0,147,311,0.0020000000000000018,-38,-22,-0.008999999999999952,-19,-6,-0.009000000000000008,-27,223,196,-5,32.0,-16,68,-29,-80,-60,237,-437.0,0,4,4,9,-3,-16,-1,4,1,4,2,2,5,3,-14,-11,1,4,3,-15,-6,-4,7,-2,4
Charlotte Hornets,Chicago Bulls,0,0,-20,20,0.0,-401,-237,-0.03999999999999998,-201,-304,-0.02799999999999997,-39,4,-0.026000000000000023,178,-232,-54,-389,68.0,-14,-18,18,91,114,-1042,-619.0,0,10,10,0,20,15,15,15,8,15,2,-1,11,-19,15,6,21,5,2,3,5,10,-8,24,7
Cleveland Cavaliers,Charlotte Hornets,1,0,45,-45,0.0,510,136,0.061,238,258,0.043999999999999984,123,172,-0.007000000000000006,-86,103,17,310,-189.0,63,-18,-74,-48,65,1381,1529.0,0,-26,-26,0,-24,-12,-28,-16,-7,-26,-14,-13,3,7,-11,-3,-17,-22,-12,6,-15,-5,-11,-29,-25
Dallas Mavericks,Charlotte Hornets,1,0,20,-20,-5.0,301,-114,0.04899999999999999,-45,-342,0.024999999999999967,189,273,-0.013000000000000012,-175,-1,-176,76,-120.0,29,77,-60,-77,44,746,649.0,0,-10,-10,5,-15,2,-20,8,15,-13,-23,-22,10,18,1,14,-4,-12,-5,-14,-11,-8,-6,-15,-8
Denver Nuggets,Charlotte Hornets,1,0,31,-31,20.0,582,52,0.07600000000000001,-81,-524,0.03699999999999998,201,288,-0.013000000000000012,-84,129,45,548,-102.0,49,34,-15,-91,74,1284,1066.0,0,-22,-22,-14,-27,-3,-29,10,19,-23,-25,-27,9,6,-13,-5,-25,-8,-9,-6,-4,-10,-13,-27,-18
Charlotte Hornets,Detroit Pistons,0,0,-25,25,-10.0,-361,-55,-0.045999999999999985,14,242,-0.022999999999999965,-145,-205,0.009000000000000008,72,-36,36,-171,53.0,-45,-63,22,-160,-63,-853,-903.0,0,14,14,9,18,5,17,-2,-11,11,18,17,-6,-5,4,-4,11,4,7,12,6,-11,9,18,14
Charlotte Hornets,Golden State Warriors,0,0,-29,29,5.0,-200,-104,-0.02100000000000002,-199,-332,-0.024999999999999967,-114,-190,0.019000000000000017,-26,11,-15,-392,119.0,-164,-23,-6,-36,-35,-713,-1018.0,0,17,17,-5,7,11,5,14,9,12,12,15,-11,1,-3,2,22,11,22,4,-1,-7,4,13,17
Houston Rockets,Charlotte Hornets,1,0,33,-33,5.0,342,351,0.025000000000000022,-27,-205,0.013999999999999957,97,230,-0.04500000000000004,197,71,268,-80,-132.0,82,43,32,22,89,754,1117.0,0,-24,-24,-4,-17,-18,-9,4,9,-7,-9,-20,16,-5,-8,-8,2,-14,-16,-8,5,4,-17,-17,-20
Indiana Pacers,Charlotte Hornets,1,0,31,-31,20.0,432,18,0.057999999999999996,16,-209,0.02899999999999997,126,147,0.006000000000000005,-251,-25,-276,404,-189.0,87,80,-69,-2,53,1006,930.0,0,-22,-22,-14,-23,-2,-27,-2,10,-19,-15,-10,-5,23,6,19,-23,-22,-17,-15,-13,-1,-7,-23,-15
Charlotte Hornets,LA Clippers,0,0,-31,31,-10.0,-267,233,-0.05199999999999999,43,405,-0.033999999999999975,-147,-155,-0.014000000000000012,162,-47,115,-70,51.0,-166,-2,83,32,30,-638,-1129.0,0,22,22,9,11,-7,24,-7,-18,21,19,11,7,-17,6,-8,3,3,23,1,17,2,-4,10,21
Los Angeles Lakers,Charlotte Hornets,1,0,31,-31,-5.0,214,-301,0.04899999999999999,27,-162,0.02699999999999997,225,281,0.0020000000000000018,-211,-16,-227,137,-126.0,26,-1,-91,-120,88,680,847.0,0,-22,-22,5,-8,11,-21,-3,8,-14,-27,-25,-1,21,4,17,-8,-13,-4,1,-19,-11,-16,-11,-13
Charlotte Hornets,Memphis Grizzlies,0,0,-29,29,10.0,-528,-346,-0.04899999999999999,-76,37,-0.02799999999999997,-230,-287,-0.0030000000000000027,-53,-116,-169,-336,-14.0,-119,-94,-15,-176,-165,-1362,-1145.0,0,17,17,-11,26,17,22,7,-2,17,28,26,2,3,12,7,18,-3,19,18,-2,-13,20,28,22
Charlotte Hornets,Miami Heat,0,0,-18,18,-35.0,-176,170,-0.03500000000000003,-59,83,-0.02799999999999997,-40,-33,-0.008000000000000007,205,-57,148,-172,157.0,-61,54,53,260,98,-451,-793.0,0,8,8,17,4,-5,12,6,-5,16,3,1,6,-20,7,-12,12,17,11,-9,10,15,-7,6,12
Milwaukee Bucks,Charlotte Hornets,1,0,29,-29,0.0,303,-226,0.055999999999999994,96,-140,0.04799999999999999,152,274,-0.03300000000000003,-329,179,-150,96,-174.0,-6,16,-120,-66,64,854,950.0,0,-17,-17,0,-16,6,-26,-10,7,-27,-21,-23,14,24,-14,13,-5,-18,1,-2,-21,-7,-10,-19,-16
Minnesota Timberwolves,Charlotte Hornets,1,0,30,-30,15.0,222,-126,0.038000000000000034,168,126,0.03799999999999998,142,168,0.006000000000000005,-95,23,-72,148,-85.0,47,38,-67,-37,83,754,1157.0,0,-18,-18,-12,-9,3,-14,-13,-6,-24,-17,-12,-4,9,-3,6,-9,-7,-8,-7,-12,-4,-15,-17,-23
Charlotte Hornets,New Orleans Pelicans,0,0,-2,2,0.0,-190,-60,-0.02200000000000002,79,304,-0.007999999999999952,-87,-178,0.029000000000000026,10,120,130,-125,70.0,-94,-61,7,36,17,-388,26.0,0,1,1,0,6,6,6,-9,-14,4,7,14,-13,-1,-10,-11,7,6,18,11,2,3,-3,5,-2
Charlotte Hornets,New York Knicks,0,0,-32,32,-25.0,-411,-7,-0.055999999999999994,34,349,-0.02999999999999997,-88,-75,-0.017000000000000015,113,96,209,-260,183.0,-64,44,29,128,-66,-876,-1083.0,0,23,23,16,21,1,25,-6,-16,20,8,5,9,-13,-9,-15,15,20,13,-8,7,12,12,21,19
Oklahoma City Thunder,Charlotte Hornets,1,0,49,-49,-10.0,518,292,0.05199999999999999,127,41,0.034999999999999976,100,51,0.03599999999999992,-132,98,-34,208,-310.0,240,97,-43,96,-3,1263,1802.0,0,-27,-27,11,-25,-16,-23,-12,-1,-22,-10,-2,-13,14,-10,2,-14,-24,-25,-19,-9,9,1,-26,-26
Charlotte Hornets,Orlando Magic,0,0,-22,22,5.0,12,274,-0.015000000000000013,144,251,0.02100000000000002,-195,-269,0.008000000000000007,89,186,275,107,106.0,-122,-120,74,-113,-178,-27,-737.0,0,13,13,-5,-1,-10,3,-12,-12,-2,24,21,-5,-8,-12,-18,-4,9,20,20,15,-10,21,2,10
Philadelphia 76ers,Charlotte Hornets,1,0,5,-5,10.0,112,-140,0.02400000000000002,-24,-93,0.0020000000000000018,170,223,-0.0030000000000000027,-151,-292,-443,-93,-154.0,145,-2,-15,21,42,370,236.0,0,-2,-2,-9,-2,4,-7,3,6,-1,-22,-19,1,16,14,21,3,-16,-21,2,-4,3,-5,-4,-2
Charlotte Hornets,Phoenix Suns,0,0,-17,17,-15.0,-239,233,-0.04799999999999999,-111,31,-0.03899999999999998,-110,-81,-0.027000000000000024,220,2,222,-283,118.0,14,-24,106,64,-21,-699,-501.0,0,7,7,12,10,-7,19,11,-1,25,11,6,12,-22,-2,-16,16,10,-2,5,20,6,2,12,4
Charlotte Hornets,Portland Trail Blazers,0,0,-17,17,-5.0,-183,-88,-0.020000000000000018,8,48,-0.0030000000000000027,-117,-199,0.02100000000000002,-92,127,35,42,-38.0,-71,-65,-18,-23,-93,-475,-503.0,0,7,7,4,5,10,4,-1,-3,2,13,16,-12,4,-11,-3,-1,-4,15,13,-3,-5,19,8,5
Charlotte Hornets,Sacramento Kings,0,0,-21,21,-25.0,-387,-77,-0.04799999999999999,33,256,-0.01799999999999996,-131,-117,-0.02300000000000002,102,-20,82,-175,179.0,-13,11,85,-13,-27,-872,-786.0,0,12,12,16,19,9,18,-5,-13,9,16,9,10,-10,2,-7,13,19,1,-4,18,-1,3,20,11
San Antonio Spurs,Charlotte Hornets,1,0,15,-15,-5.0,284,54,0.03500000000000003,93,103,0.01799999999999996,63,100,-0.009000000000000008,-107,-18,-125,354,-133.0,66,87,-79,-172,-60,724,521.0,0,-5,-5,5,-14,-4,-13,-9,-4,-8,-5,-7,7,11,5,10,-20,-15,-14,-17,-16,-13,6,-14,-6
Charlotte Hornets,Toronto Raptors,0,0,-11,11,-10.0,-272,-154,-0.028000000000000025,96,357,-0.008999999999999952,-25,-108,0.03500000000000003,-31,37,6,-346,14.0,-57,20,-49,-203,4,-473,-395.0,0,4,4,9,13,13,10,-11,-17,5,1,8,-15,2,-8,-1,19,1,10,-7,-6,-14,-2,7,3
Charlotte Hornets,Utah Jazz,0,0,2,-2,-10.0,-163,36,-0.02400000000000002,-79,-124,-0.010999999999999954,-152,-215,0.009000000000000008,20,-38,-18,-99,-141.0,52,8,-92,-14,-92,-557,19.0,0,-2,-2,9,3,-1,8,8,5,6,21,18,-8,-2,5,4,6,-5,-4,-3,-7,-2,18,9,-1
Charlotte Hornets,Washington Wizards,0,0,1,-1,5.0,-91,-63,-0.009000000000000008,-10,-67,0.0040000000000000036,-46,-69,0.0050000000000000044,136,-13,123,-64,-5.0,-16,-52,7,-83,-2,-238,273.0,0,-1,-1,-5,1,7,2,1,2,-1,4,3,-2,-15,1,-9,1,-2,3,10,2,-8,1,3,-3
Chicago Bulls,Cleveland Cavaliers,0,0,-25,25,0.0,-109,101,-0.02100000000000002,-37,46,-0.016000000000000014,-84,-176,0.03300000000000003,-92,129,37,79,121.0,-49,36,56,-43,-179,-339,-910.0,0,16,16,0,4,-3,13,1,-1,11,12,14,-14,12,-4,-3,-4,17,10,-9,10,-5,19,5,18
Dallas Mavericks,Chicago Bulls,0,0,0,0,-5.0,-100,-351,0.009000000000000008,-246,-646,-0.0030000000000000027,150,277,-0.039000000000000035,3,-233,-230,-313,-52.0,15,59,-42,14,158,-296,30.0,0,0,0,5,5,17,-5,23,23,2,-21,-23,21,-1,16,20,17,-7,-3,-11,-6,2,-14,9,-1
Chicago Bulls,Denver Nuggets,0,0,-11,11,-20.0,-181,185,-0.03600000000000003,282,828,-0.009000000000000008,-162,-292,0.039000000000000035,-94,103,9,-159,34.0,-35,-16,-3,0,-188,-242,-447.0,0,12,12,14,7,-12,14,-25,-27,8,23,28,-20,13,-2,-1,4,3,7,3,-1,0,21,3,11
Chicago Bulls,Detroit Pistons,1,0,-5,5,-10.0,40,182,-0.006000000000000005,215,546,0.0050000000000000044,-106,-209,0.03500000000000003,-106,196,90,218,-15.0,-31,-45,4,-251,-177,189,-284.0,0,4,4,9,-2,-10,2,-17,-19,-4,16,18,-17,14,-11,-10,-10,-1,5,9,1,-21,17,-6,7
Chicago Bulls,Golden State Warriors,1,0,-9,9,5.0,201,133,0.01899999999999996,2,-28,0.0030000000000000027,-75,-194,0.04500000000000004,-204,243,39,-3,51.0,-150,-5,-24,-127,-149,329,-399.0,0,7,7,-5,-13,-4,-10,-1,1,-3,10,16,-22,20,-18,-4,1,6,20,1,-6,-17,12,-11,10
Chicago Bulls,Houston Rockets,1,0,-13,13,-5.0,59,-114,0.014999999999999958,228,509,0.014000000000000012,-58,-234,0.07100000000000006,-375,161,-214,469,64.0,-68,-25,-50,-113,-203,288,-498.0,0,14,14,4,-3,3,-6,-19,-17,-8,7,21,-27,24,-7,2,-23,9,14,5,-10,-14,25,-7,13
Chicago Bulls,Indiana Pacers,1,0,-11,11,-20.0,-31,219,-0.018000000000000016,185,513,-0.0010000000000000009,-87,-151,0.020000000000000018,73,257,330,-15,121.0,-73,-62,51,-89,-167,36,-311.0,0,12,12,14,3,-13,12,-13,-18,4,13,11,-6,-4,-21,-25,2,17,15,12,8,-9,15,-1,8
LA Clippers,Chicago Bulls,0,0,11,-11,10.0,-134,-470,0.01200000000000001,-244,-709,0.006000000000000005,108,159,-0.01200000000000001,16,-185,-169,-319,17.0,152,-16,-65,59,84,-404,510.0,0,-12,-12,-9,9,22,-9,22,26,-6,-17,-12,4,-2,9,14,18,2,-21,2,-12,8,-4,14,-14
Los Angeles Lakers,Chicago Bulls,0,0,11,-11,-5.0,-187,-538,0.009000000000000008,-174,-466,-0.0010000000000000009,186,285,-0.02400000000000002,-33,-248,-281,-252,-58.0,12,-19,-73,-29,202,-362,228.0,0,-12,-12,5,12,26,-6,12,16,1,-25,-26,10,2,19,23,13,-8,-2,4,-14,-1,-24,13,-6
Chicago Bulls,Memphis Grizzlies,0,0,-9,9,10.0,-127,-109,-0.009000000000000008,125,341,0.0,-191,-291,0.02300000000000002,-231,116,-115,53,-82.0,-105,-76,-33,-267,-279,-320,-526.0,0,7,7,-11,6,2,7,-8,-10,2,26,27,-9,22,-3,1,-3,-8,17,15,-7,-23,28,4,15
Chicago Bulls,Miami Heat,1,0,2,-2,-35.0,225,407,0.004999999999999949,142,387,0.0,-1,-37,0.018000000000000016,27,175,202,217,89.0,-47,72,35,169,-16,591,-174.0,0,-2,-2,17,-16,-20,-3,-9,-13,1,1,2,-5,-1,-8,-18,-9,12,9,-12,5,5,1,-18,5
Milwaukee Bucks,Chicago Bulls,0,0,9,-9,0.0,-98,-463,0.016000000000000014,-105,-444,0.020000000000000018,113,278,-0.05900000000000005,-151,-53,-204,-293,-106.0,-20,-2,-102,25,178,-188,331.0,0,-7,-7,0,4,21,-11,5,15,-12,-19,-24,25,5,1,19,16,-13,3,1,-16,3,-18,5,-9
Minnesota Timberwolves,Chicago Bulls,0,0,10,-10,15.0,-179,-363,-0.0019999999999999463,-33,-178,0.010000000000000009,103,172,-0.020000000000000018,83,-209,-126,-241,-17.0,33,20,-49,54,197,-288,538.0,0,-8,-8,-12,11,18,1,2,2,-9,-15,-13,7,-10,12,12,12,-2,-6,-4,-7,6,-23,7,-16
Chicago Bulls,New Orleans Pelicans,1,0,18,-18,0.0,211,177,0.01799999999999996,280,608,0.020000000000000018,-48,-182,0.05500000000000005,-168,352,184,264,2.0,-80,-43,-11,-55,-97,654,645.0,0,-9,-9,0,-14,-9,-9,-24,-22,-11,5,15,-24,18,-25,-17,-14,1,16,8,-3,-7,5,-19,-9
New York Knicks,Chicago Bulls,0,0,12,-12,25.0,10,-230,0.016000000000000014,-235,-653,0.0020000000000000018,49,79,-0.009000000000000008,65,-328,-263,-129,-115.0,50,-62,-11,-37,180,-166,464.0,0,-13,-13,-16,-1,14,-10,21,24,-5,-6,-6,2,-6,24,21,6,-15,-11,11,-2,-2,-20,3,-12
Oklahoma City Thunder,Chicago Bulls,1,0,29,-29,-10.0,117,55,0.01200000000000001,-74,-263,0.007000000000000006,61,55,0.009999999999999898,46,-134,-88,-181,-242.0,226,79,-25,187,111,221,1183.0,0,-17,-17,11,-5,-1,-8,3,7,-7,-8,-3,-2,-5,5,8,7,-19,-23,-16,-4,19,-7,-2,-19
Chicago Bulls,Orlando Magic,1,0,-2,2,5.0,413,511,0.024999999999999967,345,555,0.04899999999999999,-156,-273,0.03400000000000003,-89,418,329,496,38.0,-108,-102,56,-204,-292,1015,-118.0,0,3,3,-5,-21,-25,-12,-27,-20,-17,22,22,-16,11,-27,-24,-25,4,18,17,10,-20,29,-22,3
Philadelphia 76ers,Chicago Bulls,0,0,-15,15,10.0,-289,-377,-0.01599999999999996,-225,-397,-0.025999999999999968,131,227,-0.029000000000000026,27,-524,-497,-482,-86.0,131,-20,3,112,156,-672,-383.0,0,8,8,-9,18,19,8,18,14,14,-20,-20,12,-3,29,27,24,-11,-19,5,1,13,-13,20,5
Phoenix Suns,Chicago Bulls,0,0,-3,3,15.0,-162,-470,0.008000000000000007,-90,-335,0.01100000000000001,71,85,0.0010000000000000009,-42,-234,-276,-106,-50.0,-28,6,-88,27,135,-343,-118.0,0,3,3,-12,10,22,-4,4,9,-10,-9,-7,-1,3,17,22,5,-5,4,-2,-15,4,-10,12,3
Chicago Bulls,Portland Trail Blazers,1,0,3,-3,-5.0,218,149,0.019999999999999962,209,352,0.024999999999999967,-78,-203,0.04700000000000004,-270,359,89,431,-106.0,-57,-47,-36,-114,-207,567,116.0,0,-3,-3,4,-15,-5,-11,-16,-11,-13,11,17,-23,23,-26,-9,-22,-9,13,10,-8,-15,27,-16,-2
Sacramento Kings,Chicago Bulls,0,0,1,-1,25.0,-14,-160,0.008000000000000007,-234,-560,-0.010000000000000009,92,121,-0.0030000000000000027,76,-212,-136,-214,-111.0,-1,-29,-67,104,141,-170,167.0,0,-2,-2,-16,1,6,-3,20,21,6,-14,-10,1,-9,13,13,8,-14,1,7,-13,11,-11,4,-4
San Antonio Spurs,Chicago Bulls,0,0,-5,5,-5.0,-117,-183,-0.004999999999999949,-108,-201,-0.010000000000000009,24,104,-0.03500000000000003,71,-250,-179,-35,-65.0,52,69,-61,-81,54,-318,-98.0,0,5,5,5,6,11,2,6,4,7,-3,-8,18,-8,20,16,1,-10,-12,-14,-11,-3,-2,10,1
Chicago Bulls,Toronto Raptors,1,0,9,-9,-10.0,129,83,0.011999999999999955,297,661,0.019000000000000017,14,-112,0.061000000000000054,-209,269,60,43,-54.0,-43,38,-67,-294,-110,569,224.0,0,-6,-6,9,-7,-2,-5,-26,-25,-10,-1,9,-26,21,-23,-7,-2,-4,8,-10,-11,-24,6,-17,-4
Chicago Bulls,Utah Jazz,1,0,22,-22,-10.0,238,273,0.01599999999999996,122,180,0.017000000000000015,-113,-219,0.03500000000000003,-158,194,36,290,-209.0,66,26,-110,-105,-206,485,638.0,0,-12,-12,9,-17,-16,-7,-7,-3,-9,19,19,-19,17,-10,-2,-15,-10,-6,-6,-12,-12,26,-15,-8
Chicago Bulls,Washington Wizards,1,0,21,-21,5.0,310,174,0.030999999999999972,191,237,0.03199999999999997,-7,-73,0.031000000000000028,-42,219,177,325,-73.0,-2,-34,-11,-174,-116,804,892.0,0,-11,-11,-5,-19,-8,-13,-14,-6,-16,2,4,-13,4,-14,-15,-20,-7,1,7,-3,-18,9,-21,-10
Cleveland Cavaliers,Dallas Mavericks,1,0,25,-25,5.0,209,250,0.01200000000000001,283,600,0.019000000000000017,-66,-101,0.006000000000000005,89,104,193,234,-69.0,34,-95,-14,29,21,635,880.0,0,-16,-16,-5,-9,-14,-8,-24,-22,-13,9,9,-7,-11,-12,-17,-13,-10,-7,20,-4,3,-5,-14,-17
Cleveland Cavaliers,Denver Nuggets,1,0,14,-14,-20.0,-72,84,-0.015000000000000013,319,782,0.007000000000000006,-78,-116,0.006000000000000005,-2,-26,-28,-238,-87.0,14,-52,-59,43,-9,97,463.0,0,-4,-4,14,3,-9,1,-26,-26,-3,11,14,-6,1,2,2,8,-14,-3,12,-11,5,2,-2,-7
Cleveland Cavaliers,Detroit Pistons,1,0,20,-20,-10.0,149,81,0.015000000000000013,252,500,0.02100000000000002,-22,-33,0.0020000000000000018,-14,67,53,139,-136.0,18,-81,-52,-208,2,528,626.0,0,-12,-12,9,-6,-7,-11,-18,-18,-15,4,4,-3,2,-7,-7,-6,-18,-5,18,-9,-16,-2,-11,-11
Golden State Warriors,Cleveland Cavaliers,0,0,-16,16,-5.0,-310,-32,-0.03999999999999998,-39,74,-0.019000000000000017,-9,18,-0.01200000000000001,112,-114,-2,82,70.0,101,41,80,84,-30,-668,-511.0,0,9,9,5,17,1,23,2,-2,14,2,-2,8,-8,14,1,-5,11,-10,-10,16,12,7,16,8
Houston Rockets,Cleveland Cavaliers,0,0,-12,12,5.0,-168,215,-0.035999999999999976,-265,-463,-0.030000000000000027,-26,58,-0.038000000000000034,283,-32,251,-390,57.0,19,61,106,70,24,-627,-412.0,0,2,2,-4,7,-6,19,20,16,19,5,-7,13,-12,3,-5,19,8,-4,-14,20,9,-6,12,5
Indiana Pacers,Cleveland Cavaliers,0,0,-14,14,20.0,-78,-118,-0.0030000000000000027,-222,-467,-0.015000000000000013,3,-25,0.013000000000000012,-165,-128,-293,94,0.0,24,98,5,46,-12,-375,-599.0,0,4,4,-14,1,10,1,14,17,7,-1,3,-8,16,17,22,-6,0,-5,-21,2,4,4,6,10
LA Clippers,Cleveland Cavaliers,0,0,-14,14,10.0,-243,-369,-0.009000000000000008,-281,-663,-0.010000000000000009,24,-17,0.02100000000000002,-76,-56,-132,-240,138.0,103,20,-9,16,-95,-743,-400.0,0,4,4,-9,13,19,4,23,25,5,-5,2,-10,10,5,11,14,19,-11,-7,-2,3,15,19,4
Cleveland Cavaliers,Los Angeles Lakers,1,0,14,-14,5.0,296,437,0.01200000000000001,211,420,0.017000000000000015,-102,-109,-0.009000000000000008,125,119,244,173,-63.0,37,-17,17,72,-23,701,682.0,0,-4,-4,-5,-16,-23,-7,-13,-15,-12,13,12,4,-14,-15,-20,-9,-9,-8,5,4,6,5,-18,-12
Cleveland Cavaliers,Memphis Grizzlies,1,0,16,-16,10.0,-18,-210,0.01200000000000001,162,295,0.016000000000000014,-107,-115,-0.010000000000000009,-139,-13,-152,-26,-203.0,-56,-112,-89,-224,-100,19,384.0,0,-9,-9,-11,2,5,-6,-9,-9,-9,14,13,5,10,1,4,1,-25,7,24,-17,-18,9,-1,-3
Miami Heat,Cleveland Cavaliers,0,0,-27,27,35.0,-334,-306,-0.025999999999999968,-179,-341,-0.016000000000000014,-83,-139,0.015000000000000013,-119,-46,-165,-138,32.0,-2,-36,21,-212,-163,-930,-736.0,0,18,18,-17,20,17,16,10,12,10,11,12,-9,13,4,15,5,5,1,3,5,-10,18,23,13
Cleveland Cavaliers,Milwaukee Bucks,1,0,16,-16,0.0,207,362,0.0050000000000000044,142,398,-0.0040000000000000036,-29,-102,0.026000000000000023,243,-76,167,214,-15.0,69,-34,46,18,1,527,579.0,0,-9,-9,0,-8,-18,-2,-6,-14,1,7,10,-11,-17,3,-16,-12,-4,-13,8,6,2,-1,-10,-9
Cleveland Cavaliers,Minnesota Timberwolves,1,0,15,-15,-15.0,288,262,0.022999999999999965,70,132,0.006000000000000005,-19,4,-0.013000000000000012,9,80,89,162,-104.0,16,-56,-7,-11,-18,627,372.0,0,-8,-8,12,-15,-15,-14,-3,-1,-2,3,-1,7,-2,-8,-9,-8,-15,-4,13,-3,-1,4,-12,-2
New Orleans Pelicans,Cleveland Cavaliers,0,0,-43,43,0.0,-320,-76,-0.03899999999999998,-317,-562,-0.03600000000000003,-36,6,-0.02200000000000002,76,-223,-147,-185,119.0,31,79,67,12,-82,-993,-1555.0,0,25,25,0,18,6,22,25,21,22,7,-1,10,-6,21,14,10,16,-6,-17,13,2,14,24,27
New York Knicks,Cleveland Cavaliers,0,0,-13,13,25.0,-99,-129,-0.0050000000000000044,-272,-607,-0.014000000000000012,-35,-97,0.02400000000000002,-27,-199,-226,-50,6.0,1,-26,45,-80,1,-505,-446.0,0,3,3,-16,3,11,3,22,23,6,6,8,-12,6,20,18,2,2,-1,2,8,-7,-1,8,6
Cleveland Cavaliers,Oklahoma City Thunder,1,0,-4,4,10.0,-8,-156,0.009000000000000008,111,217,0.009000000000000008,23,121,-0.04299999999999993,46,5,51,102,121.0,-177,-115,-31,-144,68,118,-273.0,0,1,1,-11,1,4,-5,-4,-6,-4,-4,-11,16,-7,-1,-5,-3,2,13,25,-6,-14,-12,-3,1
Orlando Magic,Cleveland Cavaliers,0,0,-23,23,-5.0,-522,-410,-0.045999999999999985,-382,-509,-0.065,72,97,-0.0010000000000000009,-3,-289,-292,-417,83.0,59,138,0,161,113,-1354,-792.0,0,13,13,5,25,22,25,28,19,28,-10,-8,2,1,23,21,21,13,-8,-26,0,15,-10,27,15
